Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
TrackMate,fiji.plugin.trackmate.action,TrackBranchAnalysis.Factory,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
TrackMate,fiji.plugin.trackmate.action,TrackMateActionFactory,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
TrackMate,fiji.plugin.trackmate.action,TrackMateActionFactory,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): TrackMateModule
TrackMate,fiji.plugin.trackmate.action,TrimNotVisibleAction,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
TrackMate,fiji.plugin.trackmate.action,TrimNotVisibleAction,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: INFO_TEXT; KEY; NAME
TrackMate,fiji.plugin.trackmate.action,TrimNotVisibleAction,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractTMAction
TrackMate,fiji.plugin.trackmate.action,TrimNotVisibleAction.Factory,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
TrackMate,fiji.plugin.trackmate.action,TrimNotVisibleAction.Factory,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
TrackMate,fiji.plugin.trackmate.action,CloseGapsByLinearInterpolationActionTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
TrackMate,fiji.plugin.trackmate.action,CTCExporterTestDrive,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
TrackMate,fiji.plugin.trackmate.action,SpotGaussianFitterExample,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
TrackMate,fiji.plugin.trackmate.action.autonaming,AutoNamingAction,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: INFO_TEXT; NAME; KEY
TrackMate,fiji.plugin.trackmate.action.autonaming,AutoNamingAction,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractTMAction
